NIVUS	otter

CPU32:	V4.16	23/01/17	FLASH : 8000B	DSP   : (1)V2.06 01/04/16 (4)
date	11.12.2019	c:\otterxxx.txt

		gate min[m]:	 0,125
		gate max[m]:	 0,910

date	time	level    [m]	velocity [m/s]	flowrate [l/s]	T [°C]	ADC_1 [m]	ADC_2 [mA]	ADC_3 [V]	ADC_4 [m]	

10.12.2019	10:45:00	0,229	0,299	115,978	7,7		100,747	12,695	
10.12.2019	11:00:00	0,226	0,233	88,829	7,8		107,355	12,877	
10.12.2019	11:15:00	0,228	0,168	64,722	7,8		116,583	12,901	
10.12.2019	11:30:00	0,226	0,195	74,472	7,9		91,581	12,909	
10.12.2019	11:45:00	0,228	0,271	104,553	7,9		88,765	12,914	
10.12.2019	12:00:00	0,228	0,314	121,182	8,0		71,604	12,923	
10.12.2019	12:15:00	0,227	0,329	126,364	8,0		92,100	12,917	
10.12.2019	12:30:00	0,227	0,143	55,016	8,1		68,241	12,913	
10.12.2019	12:45:00	0,232	0,218	85,613	8,1		82,262	12,914	
10.12.2019	13:00:00	0,231	0,233	91,204	8,2		75,726	12,918	
10.12.2019	13:15:00	0,228	0,345	132,925	8,2		100,868	12,905	
10.12.2019	13:30:00	0,230	0,205	79,938	8,3		79,543	12,910	
10.12.2019	13:45:00	0,229	0,407	157,779	8,3		121,559	12,903	
10.12.2019	14:00:00	0,228	0,292	112,807	8,4		79,802	12,908	
10.12.2019	14:15:00	0,228	0,216	83,433	8,5		86,166	12,912	
10.12.2019	14:30:00	0,228	0,262	100,860	8,5		108,525	12,909	
10.12.2019	14:45:00	0,232	0,290	114,255	8,6		104,199	12,903	
10.12.2019	15:00:00	0,232	0,259	101,980	8,6		88,879	12,906	
10.12.2019	15:15:00	0,233	0,282	111,404	8,7		99,138	12,898	
10.12.2019	15:30:00	0,229	0,251	97,403	8,7		96,492	12,909	
10.12.2019	15:45:00	0,233	0,382	151,195	8,7		65,385	12,915	
10.12.2019	16:00:00	0,232	0,258	101,451	8,8		88,187	12,912	
10.12.2019	16:15:00	0,232	0,435	171,100	8,8		71,965	12,912	
10.12.2019	16:30:00	0,237	0,369	148,724	8,8		70,803	12,909	
10.12.2019	16:45:00	0,237	0,358	144,314	8,9		86,404	12,899	
10.12.2019	17:00:00	0,231	0,379	148,551	8,9		79,682	12,898	
10.12.2019	17:15:00	0,233	0,298	117,666	8,9		86,183	12,898	
10.12.2019	17:30:00	0,241	0,131	53,792	8,9		86,232	12,896	
10.12.2019	17:45:00	0,243	0,257	106,487	8,9		79,566	12,903	
10.12.2019	18:00:00	0,248	0,284	120,706	8,8		75,664	12,905	
10.12.2019	18:15:00	0,240	0,245	100,036	8,8		76,030	12,907	
10.12.2019	18:30:00	0,247	0,339	143,443	8,7		78,962	12,901	
10.12.2019	18:45:00	0,249	0,330	140,932	8,7		72,923	12,900	
10.12.2019	19:00:00	0,253	0,312	135,518	8,7		78,774	12,899	
10.12.2019	19:15:00	0,255	0,294	129,162	8,7		85,411	12,900	
10.12.2019	19:30:00	0,244	0,330	137,542	8,7		100,650	12,900	
10.12.2019	19:45:00	0,246	0,350	147,172	8,7		72,041	12,900	
10.12.2019	20:00:00	0,252	0,410	177,373	8,6		69,638	12,897	
10.12.2019	20:15:00	0,251	0,343	147,698	8,6		86,165	12,896	
10.12.2019	20:30:00	0,254	0,339	148,085	8,6		89,845	12,893	
10.12.2019	20:45:00	0,243	0,281	116,393	8,5		69,516	12,900	
10.12.2019	21:00:00	0,259	0,388	173,397	8,4		76,977	12,897	
10.12.2019	21:15:00	0,257	0,325	144,055	8,3		70,500	12,896	
10.12.2019	21:30:00	0,254	0,328	143,089	8,3		78,966	12,884	
10.12.2019	21:45:00	0,243	0,310	128,661	8,2		72,229	12,891	
10.12.2019	22:00:00	0,244	0,332	138,236	8,2		99,328	12,888	
10.12.2019	22:15:00	0,247	0,318	134,467	8,1		78,437	12,881	
10.12.2019	22:30:00	0,246	0,284	119,382	8,0		67,732	12,886	
10.12.2019	22:45:00	0,243	0,341	141,408	7,9		77,029	12,884	
10.12.2019	23:00:00	0,248	0,411	174,779	7,9		76,098	12,886	
10.12.2019	23:15:00	0,247	0,310	131,205	7,8		70,951	12,882	
10.12.2019	23:30:00	0,242	0,314	129,525	7,8		72,390	12,883	
10.12.2019	23:45:00	0,239	0,245	99,915	7,7		80,754	12,879	
11.12.2019	00:00:00	0,246	0,280	117,699	7,7		71,611	12,877	
11.12.2019	00:15:00	0,233	0,347	137,024	7,6		74,833	12,876	
11.12.2019	00:30:00	0,236	0,343	137,765	7,6		68,758	12,868	
11.12.2019	00:45:00	0,241	0,327	134,480	7,5		86,202	12,867	
11.12.2019	01:00:00	0,249	0,284	121,063	7,5		81,554	12,860	
11.12.2019	01:15:00	0,236	0,250	100,146	7,4		95,080	12,857	
11.12.2019	01:30:00	0,229	0,318	123,172	7,4		98,834	12,854	
11.12.2019	01:45:00	0,236	0,294	117,864	7,3		80,785	12,860	
11.12.2019	02:00:00	0,236	0,298	119,482	7,3		70,131	12,861	
11.12.2019	02:15:00	0,235	0,263	105,026	7,3		84,948	12,853	
11.12.2019	02:30:00	0,234	0,240	95,264	7,2		93,787	12,851	
11.12.2019	02:45:00	0,234	0,221	87,807	7,1		90,911	12,851	
11.12.2019	03:00:00	0,235	0,281	112,245	7,1		70,794	12,863	
11.12.2019	03:15:00	0,230	0,283	110,418	7,0		73,158	12,862	
11.12.2019	03:30:00	0,231	0,331	129,665	6,9		81,292	12,857	
11.12.2019	03:45:00	0,237	0,332	133,919	6,9		76,605	12,856	
11.12.2019	04:00:00	0,229	0,311	120,620	6,8		75,371	12,854	
11.12.2019	04:15:00	0,237	0,335	134,951	6,8		87,411	12,838	
11.12.2019	04:30:00	0,234	0,246	97,902	6,7		80,875	12,839	
11.12.2019	04:45:00	0,232	0,306	120,362	6,7		97,437	12,842	
11.12.2019	05:00:00	0,232	0,233	91,656	6,6		91,310	12,835	
11.12.2019	05:15:00	0,232	0,000	0,000	6,6		83,765	12,823	
11.12.2019	05:30:00	0,237	0,000	0,000	6,5		100,772	12,815	
11.12.2019	05:45:00	0,229	0,253	97,992	6,5		93,057	12,823	
11.12.2019	06:00:00	0,233	0,334	132,090	6,5		82,217	12,828	
11.12.2019	06:15:00	0,231	0,269	105,486	6,5		71,401	12,834	
11.12.2019	06:30:00	0,228	0,248	95,775	6,5		73,535	12,838	
11.12.2019	06:45:00	0,230	0,257	100,227	6,5		89,827	12,838	
11.12.2019	07:00:00	0,232	0,313	123,006	6,5		67,807	12,844	
11.12.2019	07:15:00	0,231	0,297	116,403	6,5		75,932	12,833	
11.12.2019	07:30:00	0,225	0,318	120,770	6,4		68,183	12,839	
11.12.2019	07:45:00	0,227	0,270	103,523	6,4		70,609	12,834	
11.12.2019	08:00:00	0,224	0,266	100,632	6,4		94,816	12,820	
11.12.2019	08:15:00	0,228	0,299	115,276	6,4		82,995	12,818	
11.12.2019	08:30:00	0,231	0,300	117,513	6,4		85,006	12,826	
11.12.2019	08:45:00	0,230	0,280	109,202	6,4		96,075	12,832	
11.12.2019	09:00:00	0,229	0,200	77,476	6,4		84,532	12,836	
11.12.2019	09:15:00	0,228	0,231	88,956	6,4		71,851	12,839	
11.12.2019	09:30:00	0,227	0,304	116,786	6,5		83,193	12,831	
11.12.2019	09:45:00	0,227	0,252	96,523	6,6		65,241	12,836	
11.12.2019	10:00:00	0,228	0,256	98,638	6,6		85,720	12,836	
11.12.2019	10:15:00	0,235	0,259	103,492	6,7		70,591	12,837	
11.12.2019	10:30:00	0,232	0,246	96,692	6,6		82,133	12,832	
11.12.2019	10:45:00	0,230	0,335	130,426	6,6		83,589	12,826	
11.12.2019	11:00:00	0,230	0,370	144,169	6,7		77,235	12,836	
11.12.2019	11:15:00	0,228	0,323	124,532	6,7		93,021	12,835	
11.12.2019	11:30:00	0,231	0,255	99,974	6,8		86,190	12,845	
11.12.2019	11:45:00	0,231	0,252	98,470	6,8		70,900	12,850	
11.12.2019	12:00:00	0,230	0,265	103,094	6,9		79,458	12,848	
11.12.2019	12:15:00	0,230	0,238	92,872	6,9		88,142	12,832	
11.12.2019	12:30:00	0,232	0,298	117,239	7,0		86,722	12,837	
11.12.2019	12:45:00	0,231	0,311	121,866	7,0		109,341	12,833	
11.12.2019	13:00:00	0,231	0,370	144,949	7,0		70,989	12,849	
11.12.2019	13:15:00	0,229	0,284	110,148	7,0		87,638	12,842	
11.12.2019	13:30:00	0,230	0,147	57,144	7,0		75,207	12,852	
11.12.2019	13:45:00	0,232	0,212	83,473	7,0		99,902	12,839	
11.12.2019	14:00:00	0,228	0,268	103,357	7,0		80,662	12,834	
11.12.2019	14:15:00	0,230	0,340	132,514	7,0		64,965	12,853	
11.12.2019	14:30:00	0,231	0,334	130,793	6,9		76,573	12,854	
11.12.2019	14:45:00	0,227	0,309	118,505	6,9		72,751	12,860	
11.12.2019	15:00:00	0,231	0,323	126,533	7,0		80,854	12,849	
11.12.2019	15:15:00	0,232	0,283	111,272	7,0		73,127	12,857	
11.12.2019	15:30:00	0,231	0,332	129,815	6,9		82,317	12,854	
11.12.2019	15:45:00	0,230	0,249	96,861	6,9		73,501	12,861	
11.12.2019	16:00:00	0,233	0,000	0,000	6,8		87,897	12,841	
11.12.2019	16:15:00	0,234	0,296	117,673	6,8		103,078	12,845	
11.12.2019	16:30:00	0,233	0,330	130,319	6,8		73,786	12,855	
11.12.2019	16:45:00	0,229	0,299	116,009	6,8		83,905	12,849	
11.12.2019	17:00:00	0,230	0,305	118,676	6,7		72,945	12,853	
11.12.2019	17:15:00	0,231	0,376	147,079	6,7		78,969	12,856	
11.12.2019	17:30:00	0,228	0,000	0,000	6,6		79,136	12,838	
11.12.2019	17:45:00	0,231	0,000	0,000	6,6		82,841	12,829	
11.12.2019	18:00:00	0,233	0,251	99,194	6,6		86,705	12,838	
11.12.2019	18:15:00	0,230	0,360	140,429	6,6		94,737	12,844	
