NIVUS	otter

CPU32:	V4.16	23/01/17	FLASH : 8000B	DSP   : (1)V2.06 01/04/16 (4)
date	22.02.2020	c:\otterxxx.txt

		gate min[m]:	 0,125
		gate max[m]:	 0,910

date	time	level    [m]	velocity [m/s]	flowrate [l/s]	T [°C]	ADC_1 [m]	ADC_2 [mA]	ADC_3 [V]	ADC_4 [m]	

21.02.2020	12:15:00	0,257	1,015	449,241	7,4		91,571	12,877	
21.02.2020	12:30:00	0,257	0,647	286,411	7,3		97,614	12,803	
21.02.2020	12:45:00	0,263	0,670	304,655	7,4		92,043	12,996	
21.02.2020	13:00:00	0,266	0,650	299,630	7,5		91,728	13,012	
21.02.2020	13:15:00	0,267	0,597	276,351	7,5		97,189	13,023	
21.02.2020	13:30:00	0,263	0,524	238,118	7,6		84,488	13,029	
21.02.2020	13:45:00	0,266	0,581	267,566	7,7		74,698	13,030	
21.02.2020	14:00:00	0,270	0,546	255,717	7,8		68,628	13,036	
21.02.2020	14:15:00	0,260	0,560	251,096	7,9		78,291	13,031	
21.02.2020	14:30:00	0,263	0,683	310,641	8,0		70,443	13,031	
21.02.2020	14:45:00	0,267	0,588	272,068	8,0		65,177	13,035	
21.02.2020	15:00:00	0,266	0,530	244,372	8,1		73,434	13,032	
21.02.2020	15:15:00	0,262	0,520	235,377	8,1		123,176	13,017	
21.02.2020	15:30:00	0,262	0,689	311,784	8,1		71,024	13,023	
21.02.2020	15:45:00	0,263	0,765	347,647	8,1		117,438	13,017	
21.02.2020	16:00:00	0,266	0,726	334,458	8,1		90,537	13,023	
21.02.2020	16:15:00	0,264	0,764	348,671	8,1		70,424	13,024	
21.02.2020	16:30:00	0,268	0,844	392,296	8,1		77,732	13,015	
21.02.2020	16:45:00	0,272	0,751	355,173	8,1		86,412	13,020	
21.02.2020	17:00:00	0,253	0,677	294,314	8,1		89,374	13,018	
21.02.2020	17:15:00	0,262	0,662	299,834	8,1		80,787	13,016	
21.02.2020	17:30:00	0,262	0,711	321,778	8,1		74,679	13,015	
21.02.2020	17:45:00	0,255	0,673	295,062	8,0		63,057	13,019	
21.02.2020	18:00:00	0,260	0,639	286,556	8,0		68,782	13,016	
21.02.2020	18:15:00	0,262	0,652	295,054	8,0		95,209	13,010	
21.02.2020	18:30:00	0,264	0,767	350,279	8,0		128,741	13,005	
21.02.2020	18:45:00	0,260	0,597	267,677	8,0		75,785	13,010	
21.02.2020	19:00:00	0,262	0,691	312,580	8,0		70,723	13,006	
21.02.2020	19:15:00	0,265	0,683	313,198	8,0		74,063	13,005	
21.02.2020	19:30:00	0,258	0,782	347,548	7,9		64,420	13,009	
21.02.2020	19:45:00	0,267	0,631	292,131	7,9		114,015	12,994	
21.02.2020	20:00:00	0,258	0,442	196,355	7,9		73,102	13,003	
21.02.2020	20:15:00	0,251	0,621	267,362	7,9		71,259	13,000	
21.02.2020	20:30:00	0,257	0,711	314,669	7,9		66,693	12,998	
21.02.2020	20:45:00	0,256	0,500	220,440	7,9		87,739	12,998	
21.02.2020	21:00:00	0,260	0,632	283,613	7,9		72,834	13,000	
21.02.2020	21:15:00	0,253	0,676	293,639	7,9		70,821	12,995	
21.02.2020	21:30:00	0,256	0,485	213,911	7,8		96,723	12,989	
21.02.2020	21:45:00	0,251	0,624	268,837	7,8		73,509	12,998	
21.02.2020	22:00:00	0,247	0,776	328,267	7,8		83,517	12,996	
21.02.2020	22:15:00	0,246	0,759	319,564	7,8		68,514	12,996	
21.02.2020	22:30:00	0,255	0,731	320,469	7,8		100,933	12,992	
21.02.2020	22:45:00	0,252	0,656	283,782	7,8		76,612	12,996	
21.02.2020	23:00:00	0,260	0,737	330,467	7,8		67,363	12,998	
21.02.2020	23:15:00	0,253	0,707	307,444	7,8		73,500	12,993	
21.02.2020	23:30:00	0,259	0,632	282,206	7,8		72,391	12,990	
21.02.2020	23:45:00	0,255	0,569	249,637	7,8		67,200	12,991	
22.02.2020	00:00:00	0,252	0,631	273,210	7,8		97,481	12,988	
22.02.2020	00:15:00	0,254	0,544	237,643	7,8		72,760	12,985	
22.02.2020	00:30:00	0,254	0,560	244,607	7,8		71,661	12,985	
22.02.2020	00:45:00	0,252	0,557	240,824	7,8		73,697	12,991	
22.02.2020	01:00:00	0,253	0,590	256,638	7,8		95,122	12,988	
22.02.2020	01:15:00	0,250	0,541	232,032	7,8		64,962	12,993	
22.02.2020	01:30:00	0,250	0,569	243,762	7,8		69,174	12,993	
22.02.2020	01:45:00	0,246	0,672	282,598	7,8		68,515	12,993	
22.02.2020	02:00:00	0,245	0,780	326,915	7,8		95,649	12,987	
22.02.2020	02:15:00	0,243	0,867	359,694	7,8		100,401	12,983	
22.02.2020	02:30:00	0,251	0,815	351,121	7,8		69,559	12,990	
22.02.2020	02:45:00	0,253	0,661	287,379	7,8		74,362	12,990	
22.02.2020	03:00:00	0,255	0,673	295,323	7,8		70,864	12,991	
22.02.2020	03:15:00	0,247	0,508	214,972	7,8		102,517	12,985	
22.02.2020	03:30:00	0,245	0,648	271,538	7,8		111,223	12,983	
22.02.2020	03:45:00	0,256	0,670	295,168	7,8		71,433	12,989	
22.02.2020	04:00:00	0,252	0,720	311,722	7,8		71,105	12,988	
22.02.2020	04:15:00	0,251	0,827	356,117	7,8		72,161	12,989	
22.02.2020	04:30:00	0,248	0,654	277,603	7,9		66,557	12,989	
22.02.2020	04:45:00	0,251	0,615	265,046	7,9		101,086	12,982	
22.02.2020	05:00:00	0,256	0,623	274,686	7,9		74,158	12,986	
22.02.2020	05:15:00	0,253	0,652	283,524	7,9		72,492	12,985	
22.02.2020	05:30:00	0,255	0,709	311,120	7,9		81,821	12,985	
22.02.2020	05:45:00	0,248	0,751	318,993	7,9		71,106	12,988	
22.02.2020	06:00:00	0,242	0,723	298,637	8,0		69,024	12,986	
22.02.2020	06:15:00	0,251	0,694	298,952	8,0		82,696	12,983	
22.02.2020	06:30:00	0,254	0,600	262,074	8,0		65,819	12,985	
22.02.2020	06:45:00	0,256	0,689	303,546	8,0		76,434	12,984	
22.02.2020	07:00:00	0,250	0,825	353,553	8,0		87,240	12,982	
22.02.2020	07:15:00	0,253	0,617	268,144	8,0		71,395	12,986	
22.02.2020	07:30:00	0,253	0,707	307,251	8,0		67,302	12,987	
22.02.2020	07:45:00	0,251	0,633	272,725	8,1		69,249	12,987	
22.02.2020	08:00:00	0,248	0,545	231,625	8,1		65,632	12,988	
22.02.2020	08:15:00	0,248	0,650	276,028	8,1		67,317	12,988	
22.02.2020	08:30:00	0,257	0,673	297,714	8,2		74,440	12,986	
22.02.2020	08:45:00	0,254	0,834	364,290	8,2		74,657	12,986	
