"","wateryear_f","count","countZero","countNotNA","countNA","completeness","min","max","mean","sd","median","p5th","p30th","p50th","p90th","p95th","q1","q2","q3","totalmm"
<<<<<<< HEAD
"1","2010-2011",35040,21055,32815,2225,0.936501141552511,0,30.0571769078573,0.0754188032976078,0.452648193988171,0,0,0,0,0.037855766216914,0.300885519819955,0,0,0.00088925981738915,618.71700755275
"2","2011-2012",35136,18981,34612,524,0.985086520947177,0,28.5691862106323,0.134809619669129,0.696709546670447,0,0,0,0,0.129536802570025,0.724654521925061,0,0,0.0026494829216972,1166.50763899697
"3","2012-2013",35040,26691,34961,79,0.997745433789954,0,31.5243320465088,0.130364721612802,0.681068385490219,0,0,0,0,0.206942225495974,0.724735279877981,0,0,0,1139.42025807629
"4","2013-2014",35040,27548,34886,154,0.99560502283105,0,24.211430867513,0.126109959578805,0.595373521338668,0,0,0,0,0.17900139093399,0.711341258138418,0,0,0,1099.86801246655
"5","2014-2015",35040,27792,34605,435,0.987585616438356,0,13.1921293934186,0.105174873708135,0.530289117423815,0,0,0,0,0.120750522656211,0.516096705198287,0,0,0,909.894126167505
"6","2015-2016",35136,26102,34007,1129,0.967867714025501,0,17.9928766489029,0.107016648280103,0.499047744872863,0,0,0,0,0.160242295265198,0.575978909432884,0,0,0,909.828789515369
"7","2016-2017",35040,27775,34153,887,0.974686073059361,0,25.6971127192179,0.0980005736237946,0.542111133668963,0,0,0,0,0.0736705509324868,0.431299227351942,0,0,0,836.753397743364
"8","2017-2018",35040,27594,34437,603,0.982791095890411,0,35.5017735958099,0.0981743765122441,0.537417581562377,0,0,0,0,0.0953479933242004,0.48799246152242,0,0,0,845.207750988038
"9","2018-2019",35040,27442,34418,622,0.982248858447489,0,25.042186498642,0.115056174028592,0.593694722221718,0,0,0,0,0.130529015262921,0.559868698815505,0,0,0,990.000849429017
"10",NA,58752,36053,54841,3911,0.933432053376906,0,37.8777186075846,0.122788904614748,0.588047327443161,0,0,0,0,0.198172343273958,0.678659542774161,0,0,0.00210410713528593,1683.46657949435
=======
"1","2010-2011",35040,23561,35040,0,1,0,11.9546130952381,0.0724414869400957,0.415846485807908,0,0,0,0,0.0372023809523809,0.272358630952378,0,0,0.00148809523809524,634.587425595238
"2","2011-2012",35136,20314,35136,0,1,0,25.1190476190476,0.135503239283817,0.68538259502185,0,0,0,0,0.134672619047619,0.734933035714286,0,0,0.0037202380952381,1190.26045386905
"3","2012-2013",35040,26813,35040,0,1,0,23.1904761904762,0.132548813261035,0.62684657933185,0,0,0,0,0.217261904761905,0.777529761904762,0,0,0,1161.12760416667
"4","2013-2014",35040,27653,35040,0,1,0,16.1019345238095,0.127643025318004,0.574151155368581,0,0,0,0,0.186755952380952,0.752269345238092,0,0,0,1118.15290178571
"5","2014-2015",35040,28068,35040,0,1,0,16.5922619047619,0.103267672829691,0.513620075392883,0,0,0,0,0.120535714285714,0.509709821428568,0,0,0,904.624813988095
"6","2015-2016",35136,27059,35136,0,1,0,16.3043154761905,0.101539777917371,0.461144780926487,0,0,0,0,0.147321428571429,0.544828869047619,0,0,0,891.92540922619
"7","2016-2017",35040,28532,35040,0,1,0,19.6510416666667,0.0955697527655469,0.534047477595929,0,0,0,0,0.0736607142857143,0.411495535714282,0,0,0,837.19103422619
"8","2017-2018",35040,28085,35040,0,1,0,47.2209821428571,0.0962327705411502,0.545069272125881,0,0,0,0,0.0930059523809524,0.481436011904759,0,0,0,842.999069940476
"9","2018-2019",35040,27360,34558,482,0.986244292237443,0,21.163236618042,0.111791116643063,0.54759317667918,0,0,0,0,0.136160714285714,0.555803571428571,0,0,0,965.819352237741
"10",NA,58600,39918,58429,171,0.997081911262799,0,17.3549273808797,0.114198694506777,0.528989429856643,0,0,0,0,0.178206938008469,0.620535714285714,0,0,0.00223214285714286,1668.12888033411
>>>>>>> b36d70650908aeef743a1ac565eb52b65b1d47bd
